性別,分野,年齢,居住地は都市中心からの距離は？,毎月の収入（学生の場合はアルバイト代）は平均で大体おいくらですか。,よく動画を見るデバイスはどれですか,地域PR動画の長さについて、好みはどのぐらいですか？,地域PR動画を観るプラットフォームはどれですか,地域PR動画の再生を途中でやめてしまった経験はありますか。,毎日よく動画見ますか,旅行に興味がありますか,地域PR動画で「景観（自然の風景?建築）」に興味を持っていますか？,地域PR動画で「歴史?文化」に興味を持っていますか？,地域PR動画で「グルメ」に興味を持っていますか？,地域PR動画で「特産品」に興味を持っていますか？,地域PR動画で「イベント（お祭り）」に興味を持っていますか？,地域PR動画を見て、現地に行きたいという気持ちは段階評価してください
女性,芸術系,10代,41km-50km,3-5万円,スマートフォン,短時間動画（30秒以内）,YouTube,経験ある,5,5,2,1,4,2,2,5
女性,芸術系,20代,10km-20km,1-3万円,ノートパソコン/デスクトップ,ショート動画（1分間以内）,Instagram,経験ある,4,5,4,4,3,3,2,3
男性,芸術系,30代,10km以内,5-10万円,タブレット,ショート動画（1分間以内）,Bilibili,経験ない,3,5,2,3,3,3,3,3
男性,文系,20代,10km以内,10-20万円,スマートフォン,超短時間動画（15秒以内）,TikTok,経験ある,5,5,5,4,5,4,4,4
男性,芸術系,20代,10km-20km,1万円以下,スマートフォン,ショート動画（1分間以内）,Instagram,経験ある,1,4,2,4,3,3,4,4
女性,芸術系,20代,10km以内,1-3万円,スマートフォン,ショート動画（1分間以内）,Instagram,経験ある,5,5,5,5,3,4,3,4
女性,芸術系,20代,31km-40km,5-10万円,スマートフォン,ミディアム動画（5分間以内）,YouTube,経験ある,3,5,4,3,4,3,3,3
女性,芸術系,20代,10km-20km,5-10万円,ノートパソコン/デスクトップ,ショート動画（1分間以内）,Instagram,経験ある,5,5,5,2,5,5,5,5
男性,理系,20代,10km-20km,5-10万円,ノートパソコン/デスクトップ,ロング動画（５分間以上）,Bilibili,経験ある,5,3,4,3,5,3,5,4
男性,芸術系,40代,41km-50km,30-40万円,ノートパソコン/デスクトップ,ミディアム動画（5分間以内）,YouTube,経験ある,3,2,5,5,2,2,4,3
男性,理系,20代,10km以内,20-30万円,スマートフォン,ショート動画（1分間以内）,Instagram,経験ある,3,4,3,4,3,4,2,3
男性,芸術系,20代,10km-20km,1万円以下,スマートフォン,ロング動画（５分間以上）,Twitter,経験ある,5,1,1,1,1,1,1,1
女性,芸術系,20代,10km-20km,1万円以下,スマートフォン,短時間動画（30秒以内）,TikTok,経験ある,5,5,5,3,5,5,5,5
女性,芸術系,10代,10km-20km,1万円以下,タブレット,ミディアム動画（5分間以内）,公式サイト,経験ある,5,1,4,2,3,4,2,3
女性,芸術系,20代,10km-20km,1万円以下,スマートフォン,ロング動画（５分間以上）,YouTube,経験ある,5,5,5,2,5,5,1,5
女性,芸術系,10代,10km-20km,1万円以下,タブレット,短時間動画（30秒以内）,Instagram,経験ない,4,4,5,3,5,3,5,4
女性,芸術系,20代,10km以内,10-20万円,スマートフォン,ショート動画（1分間以内）,公式サイト,経験ある,3,5,5,5,5,5,5,5
男性,芸術系,10代,10km以内,5-10万円,スマートフォン,超短時間動画（15秒以内）,YouTube,経験ある,5,4,3,3,4,4,4,4
女性,芸術系,10代,10km以内,1万円以下,スマートフォン,短時間動画（30秒以内）,YouTube,経験ある,5,5,5,5,5,5,5,5
女性,芸術系,10代,51km-60km,3-5万円,スマートフォン,ショート動画（1分間以内）,公式サイト,経験ある,5,4,3,4,4,5,4,4
女性,芸術系,10代,51km-60km,3-5万円,スマートフォン,ショート動画（1分間以内）,Instagram,経験ある,5,4,4,4,5,5,4,4
男性,芸術系,10代,10km以内,10-20万円,スマートフォン,短時間動画（30秒以内）,YouTube,経験ある,5,3,3,3,3,3,3,4
女性,芸術系,20代,51km-60km,5-10万円,スマートフォン,ショート動画（1分間以内）,TikTok,経験ない,5,5,5,5,5,5,5,5
女性,文系,10代,10km以内,5-10万円,テレビ,短時間動画（30秒以内）,Instagram,経験ある,5,4,5,2,5,1,1,3
男性,芸術系,20代,10km以内,5-10万円,ノートパソコン/デスクトップ,ショート動画（1分間以内）,YouTube,経験ある,5,4,5,3,5,2,3,4
男性,芸術系,10代,10km以内,1万円以下,スマートフォン,ショート動画（1分間以内）,TikTok,経験ある,5,4,4,2,5,5,4,4
女性,芸術系,10代,31km-40km,3-5万円,スマートフォン,超短時間動画（15秒以内）,TikTok,経験ある,5,1,1,1,1,1,1,2
女性,芸術系,10代,10km以内,5-10万円,スマートフォン,ミディアム動画（5分間以内）,TikTok,経験ある,5,5,5,5,4,3,4,4
男性,芸術系,10代,41km-50km,5-10万円,スマートフォン,ショート動画（1分間以内）,TikTok,経験ある,5,3,2,2,2,2,2,2
女性,芸術系,20代,10km以内,5-10万円,スマートフォン,超短時間動画（15秒以内）,Instagram,経験ある,5,5,4,4,5,5,5,5
男性,芸術系,10代,10km以内,3-5万円,ノートパソコン/デスクトップ,ミディアム動画（5分間以内）,Twitter,経験ある,4,3,3,3,2,3,3,3
女性,芸術系,10代,21km-30km,3-5万円,スマートフォン,短時間動画（30秒以内）,YouTube,経験ある,5,5,3,3,5,4,4,4
女性,芸術系,10代,41km-50km,1万円以下,ノートパソコン/デスクトップ,ショート動画（1分間以内）,YouTube,経験ない,5,5,4,5,5,3,4,4
女性,芸術系,10代,10km以内,1万円以下,スマートフォン,超短時間動画（15秒以内）,YouTube,経験ある,5,5,4,4,5,5,5,5
女性,芸術系,10代,10km以内,5-10万円,テレビ,ショート動画（1分間以内）,YouTube,経験ある,5,2,5,5,5,5,5,4
女性,芸術系,10代,10km以内,3-5万円,スマートフォン,短時間動画（30秒以内）,Twitter,経験ない,5,5,5,5,5,4,4,4
男性,芸術系,50代,10km以内,40-50万円,テレビ,短時間動画（30秒以内）,YouTube,経験ある,5,5,5,4,5,5,4,3
女性,芸術系,10代,10km以内,5-10万円,スマートフォン,超短時間動画（15秒以内）,TikTok,経験ある,5,5,5,2,5,5,5,4
女性,芸術系,10代,10km以内,3-5万円,スマートフォン,超短時間動画（15秒以内）,Instagram,経験ある,5,5,5,5,5,5,5,4
女性,文系,20代,10km-20km,5-10万円,スマートフォン,短時間動画（30秒以内）,YouTube,経験ある,5,5,5,5,5,5,4,5
男性,文系,40代,10km以内,40-50万円,スマートフォン,ショート動画（1分間以内）,Instagram,経験ある,5,4,3,4,4,3,3,4
男性,文系,20代,10km以内,3-5万円,スマートフォン,短時間動画（30秒以内）,Instagram,経験ある,5,4,4,3,4,3,5,4
