性別,分野,年齢,距離,毎月の収入,デバイス,地域PR動画の長さ,プラットフォーム,途中でやめる,動画頻度,旅行,景観,歴史文化,グルメ,特産品,イベント,現地に行きたい
女性,芸術系,10代,41km-50km,3-5万円,スマートフォン,30秒以内,YouTube,経験ある,5,5,2,1,4,2,2,5
女性,芸術系,20代,10km-20km,1-3万円,ノートパソコン/デスクトップ,1分間以内,Instagram,経験ある,4,5,4,4,3,3,2,3
男性,芸術系,30代,10km以内,5-10万円,タブレット,1分間以内,Bilibili,経験ない,3,5,2,3,3,3,3,3
男性,文系,20代,10km以内,10-20万円,スマートフォン,15秒以内,TikTok,経験ある,5,5,5,4,5,4,4,4
男性,芸術系,20代,10km-20km,1万円以下,スマートフォン,1分間以内,Instagram,経験ある,1,4,2,4,3,3,4,4
女性,芸術系,20代,10km以内,1-3万円,スマートフォン,1分間以内,Instagram,経験ある,5,5,5,5,3,4,3,4
女性,芸術系,20代,31km-40km,5-10万円,スマートフォン,5分間以内,YouTube,経験ある,3,5,4,3,4,3,3,3
女性,芸術系,20代,10km-20km,5-10万円,ノートパソコン/デスクトップ,1分間以内,Instagram,経験ある,5,5,5,2,5,5,5,5
男性,理系,20代,10km-20km,5-10万円,ノートパソコン/デスクトップ,５分間以上,Bilibili,経験ある,5,3,4,3,5,3,5,4
男性,芸術系,40代,41km-50km,30-40万円,ノートパソコン/デスクトップ,5分間以内,YouTube,経験ある,3,2,5,5,2,2,4,3
男性,理系,20代,10km以内,20-30万円,スマートフォン,1分間以内,Instagram,経験ある,3,4,3,4,3,4,2,3
男性,芸術系,20代,10km-20km,1万円以下,スマートフォン,５分間以上,Twitter,経験ある,5,1,1,1,1,1,1,1
女性,芸術系,20代,10km-20km,1万円以下,スマートフォン,30秒以内,TikTok,経験ある,5,5,5,3,5,5,5,5
女性,芸術系,10代,10km-20km,1万円以下,タブレット,5分間以内,公式サイト,経験ある,5,1,4,2,3,4,2,3
女性,芸術系,20代,10km-20km,1万円以下,スマートフォン,５分間以上,YouTube,経験ある,5,5,5,2,5,5,1,5
女性,芸術系,10代,10km-20km,1万円以下,タブレット,30秒以内,Instagram,経験ない,4,4,5,3,5,3,5,4
女性,芸術系,20代,10km以内,10-20万円,スマートフォン,1分間以内,公式サイト,経験ある,3,5,5,5,5,5,5,5
男性,芸術系,10代,10km以内,5-10万円,スマートフォン,15秒以内,YouTube,経験ある,5,4,3,3,4,4,4,4
女性,芸術系,10代,10km以内,1万円以下,スマートフォン,30秒以内,YouTube,経験ある,5,5,5,5,5,5,5,5
女性,芸術系,10代,51km-60km,3-5万円,スマートフォン,1分間以内,公式サイト,経験ある,5,4,3,4,4,5,4,4
女性,芸術系,10代,51km-60km,3-5万円,スマートフォン,1分間以内,Instagram,経験ある,5,4,4,4,5,5,4,4
男性,芸術系,10代,10km以内,10-20万円,スマートフォン,30秒以内,YouTube,経験ある,5,3,3,3,3,3,3,4
女性,芸術系,20代,51km-60km,5-10万円,スマートフォン,1分間以内,TikTok,経験ない,5,5,5,5,5,5,5,5
女性,文系,10代,10km以内,5-10万円,テレビ,30秒以内,Instagram,経験ある,5,4,5,2,5,1,1,3
男性,芸術系,20代,10km以内,5-10万円,ノートパソコン/デスクトップ,1分間以内,YouTube,経験ある,5,4,5,3,5,2,3,4
男性,芸術系,10代,10km以内,1万円以下,スマートフォン,1分間以内,TikTok,経験ある,5,4,4,2,5,5,4,4
女性,芸術系,10代,31km-40km,3-5万円,スマートフォン,15秒以内,TikTok,経験ある,5,1,1,1,1,1,1,2
女性,芸術系,10代,10km以内,5-10万円,スマートフォン,5分間以内,TikTok,経験ある,5,5,5,5,4,3,4,4
男性,芸術系,10代,41km-50km,5-10万円,スマートフォン,1分間以内,TikTok,経験ある,5,3,2,2,2,2,2,2
女性,芸術系,20代,10km以内,5-10万円,スマートフォン,15秒以内,Instagram,経験ある,5,5,4,4,5,5,5,5
男性,芸術系,10代,10km以内,3-5万円,ノートパソコン/デスクトップ,5分間以内,Twitter,経験ある,4,3,3,3,2,3,3,3
女性,芸術系,10代,21km-30km,3-5万円,スマートフォン,30秒以内,YouTube,経験ある,5,5,3,3,5,4,4,4
女性,芸術系,10代,41km-50km,1万円以下,ノートパソコン/デスクトップ,1分間以内,YouTube,経験ない,5,5,4,5,5,3,4,4
